id_venda,produto,quantidade,preco_unitario
0001,Notebook,7,4725.00
0002,Monitor,7,1200.00
0003,Teclado,8,180.00
0004,Mouse,7,90.00
0005,Headset,3,237.50
0006,Webcam,3,304.00
0007,SSD,5,456.00
0008,Memoria RAM,10,332.50
0009,HD Externo,5,441.00
0010,Impressora,6,850.00
0011,Notebook,2,4500.00
0012,Monitor,2,1200.00
0013,Teclado,2,180.00
0014,Mouse,5,90.00
0015,Headset,8,262.50
0016,Webcam,8,320.00
0017,SSD,9,504.00
0018,Memoria RAM,4,332.50
0019,HD Externo,4,420.00
0020,Impressora,7,850.00
0021,Notebook,10,4500.00
0022,Monitor,4,1200.00
0023,Teclado,7,180.00
0024,Mouse,3,90.00
0025,Headset,9,237.50
0026,Webcam,1,320.00
0027,SSD,1,504.00
0028,Memoria RAM,2,332.50
0029,HD Externo,2,399.00
0030,Impressora,4,abc
0031,Notebook,1,4275.00
0032,Monitor,9,1140.00
0033,Teclado,3,171.00
0034,Mouse,6,90.00
0035,Headset,1,262.50
0036,Webcam,7,
0037,SSD,7,456.00
0038,Memoria RAM,4,367.50
0039,HD Externo,3,441.00
0040,Impressora,8,807.50
0041,Notebook,2,4275.00
0042,Monitor,1,1200.00
0043,Teclado,2,180.00
0044,Mouse,10,94.50
0045,Headset,1,250.00
0046,Webcam,3,320.00
0047,SSD,7,456.00
0048,Memoria RAM,3,367.50
0049,HD Externo,2,399.00
0050,Impressora,1,807.50
0051,Notebook,4,4275.00
0052,Monitor,3,1200.00
0053,Teclado,5,189.00
0054,Mouse,2,90.00
0055,Headset,5,262.50
0056,Webcam,10,304.00
0057,SSD,5,456.00
0058,Memoria RAM,9,350.00
0059,HD Externo,8,399.00
0060,Impressora,9,807.50
0061,Notebook,6,4275.00
0062,Monitor,7,1140.00
0063,Teclado,9,
0064,Mouse,8,94.50
0065,Headset,9,237.50
0066,Webcam,6,336.00
0067,SSD,2,480.00
0068,Memoria RAM,7,367.50
0069,HD Externo,9,420.00
0070,Impressora,9,892.50
0071,Notebook,7,4725.00
0072,Monitor,1,1200.00
0073,Teclado,5,180.00
0074,Mouse,9,90.00
0075,Headset,10,250.00
0076,Webcam,5,304.00
0077,SSD,6,456.00
0078,Memoria RAM,9,367.50
0079,HD Externo,10,441.00
0080,Impressora,4,850.00
0081,Notebook,3,4500.00
0082,Monitor,-3,1200.00
0083,Teclado,4,171.00
0084,Mouse,6,94.50
0085,Headset,4,262.50
0086,Webcam,-3,320.00
0087,SSD,8,480.00
0088,Memoria RAM,4,367.50
0089,HD Externo,4,420.00
0090,Impressora,3,850.00
0091,Notebook,7,4500.00
0092,Monitor,7,1260.00
0093,Teclado,4,189.00
0094,Mouse,1,90.00
0095,Headset,5,250.00
0096,Webcam,1,320.00
0097,SSD,10,480.00
0098,Memoria RAM,4,367.50
0099,HD Externo,7,420.00
0100,Impressora,7,
0101,Notebook,1,4725.00
0102,Monitor,3,1200.00
0103,Teclado,5,180.00
0104,Mouse,7,85.50
0105,Headset,9,237.50
0106,Webcam,1,320.00
0107,SSD,7,504.00
0108,Memoria RAM,9,350.00
0109,HD Externo,9,399.00
0110,Impressora,5,807.50
0111,Notebook,7,4500.00
0112,Monitor,10,1200.00
0113,Teclado,1,171.00
0114,Mouse,5,85.50
0115,Headset,1,237.50
0116,Webcam,8,320.00
0117,SSD,9,480.00
0118,Memoria RAM,3,367.50
0119,HD Externo,3,399.00
0120,Impressora,3,850.00
0121,Notebook,1,4725.00
0122,Monitor,8,1140.00
0123,Teclado,2,180.00
0124,Mouse,3,85.50
0125,Headset,7,250.00
0126,Webcam,5,320.00
0127,SSD,5,480.00
0128,Memoria RAM,8,350.00
0129,HD Externo,2,420.00
0130,Impressora,10,850.00
0131,Notebook,5,4275.00
0132,Monitor,8,1140.00
0133,Teclado,4,180.00
0134,Mouse,10,85.50
0135,Headset,5,237.50
0136,Webcam,2,336.00
0137,SSD,5,456.00
0138,Memoria RAM,8,332.50
0139,HD Externo,2,441.00
0140,Impressora,6,807.50
0141,Notebook,1,4500.00
0142,Monitor,7,1140.00
0143,Teclado,10,171.00
0144,Mouse,6,94.50
0145,Headset,2,237.50
0146,Webcam,2,304.00
0147,SSD,5,480.00
0148,Memoria RAM,5,367.50
0149,HD Externo,4,420.00
0150,Impressora,4,807.50
0151,Notebook,3,4500.00
0152,Monitor,3,1260.00
0153,Teclado,10,189.00
0154,Mouse,1,90.00
0155,Headset,7,250.00
0156,Webcam,9,320.00
0157,SSD,2,456.00
0158,Memoria RAM,7,350.00
0159,HD Externo,4,420.00
0160,Impressora,2,807.50
0161,Notebook,5,4275.00
0162,Monitor,5,1140.00
0163,Teclado,3,180.00
0164,Mouse,7,94.50
0165,Headset,7,250.00
0166,Webcam,8,320.00
0167,SSD,7,504.00
0168,Memoria RAM,2,350.00
0169,HD Externo,7,399.00
0170,Impressora,8,850.00
0171,Notebook,3,4725.00
0172,Monitor,2,1200.00
0173,Teclado,7,180.00
0174,Mouse,5,90.00
0175,Headset,6,250.00
0176,Webcam,10,320.00
0177,SSD,10,480.00
0178,Memoria RAM,7,350.00
0179,HD Externo,6,399.00
0180,Impressora,0,807.50
0181,Notebook,3,4275.00
0182,Monitor,2,1200.00
0183,Teclado,1,180.00
0184,Mouse,6,85.50
0185,Headset,2,262.50
0186,Webcam,10,320.00
0187,SSD,2,504.00
0188,Memoria RAM,3,332.50
0189,HD Externo,1,420.00
0190,Impressora,4,807.50
0191,Notebook,2,4500.00
0192,Monitor,0,1200.00
0193,Teclado,3,180.00
0194,Mouse,5,90.00
0195,Headset,1,262.50
0196,Webcam,2,320.00
0197,SSD,1,480.00
0198,Memoria RAM,10,367.50
0199,HD Externo,7,420.00
0200,Impressora,7,850.00
0201,Notebook,4,4725.00
0202,Monitor,8,1200.00
0203,Teclado,9,
0204,Mouse,3,85.50
0205,Headset,6,250.00
0206,Webcam,5,336.00
0207,SSD,4,480.00
0208,Memoria RAM,3,332.50
0209,HD Externo,10,399.00
0210,Impressora,9,892.50
0211,Notebook,3,4500.00
0212,Monitor,-5,1200.00
0213,Teclado,7,180.00
0214,Mouse,8,94.50
0215,Headset,1,250.00
0216,Webcam,6,320.00
0217,SSD,6,480.00
0218,Memoria RAM,7,332.50
0219,HD Externo,3,420.00
0220,Impressora,4,850.00
0221,Notebook,7,4500.00
0222,Monitor,3,1200.00
0223,Teclado,3,180.00
0224,Mouse,4,85.50
0225,Headset,9,250.00
0226,Webcam,8,320.00
0227,SSD,8,480.00
0228,Memoria RAM,1,
0229,HD Externo,7,441.00
0230,Impressora,3,892.50
0231,Notebook,1,4500.00
0232,Monitor,5,1200.00
0233,Teclado,2,180.00
0234,Mouse,4,90.00
0235,Headset,9,250.00
0236,Webcam,5,336.00
0237,SSD,2,480.00
0238,Memoria RAM,10,332.50
0239,HD Externo,3,420.00
0240,Impressora,4,892.50
0241,Notebook,2,4275.00
0242,Monitor,1,1140.00
0243,Teclado,7,180.00
0244,Mouse,6,90.00
0245,Headset,2,262.50
0246,Webcam,5,320.00
0247,SSD,0,480.00
0248,Memoria RAM,6,350.00
0249,HD Externo,7,399.00
0250,Impressora,9,892.50
0251,Notebook,10,4500.00
0252,Monitor,7,1260.00
0253,Teclado,9,180.00
0254,Mouse,1,90.00
0255,Headset,9,262.50
0256,Webcam,7,320.00
0257,SSD,3,480.00
0258,Memoria RAM,3,350.00
0259,HD Externo,7,420.00
0260,Impressora,4,850.00
0261,Notebook,4,4725.00
0262,Monitor,5,1200.00
0263,Teclado,7,180.00
0264,Mouse,5,90.00
0265,Headset,6,250.00
0266,Webcam,2,336.00
0267,SSD,8,480.00
0268,Memoria RAM,4,350.00
0269,HD Externo,3,399.00
0270,Impressora,1,850.00
0271,Notebook,6,4500.00
0272,Monitor,10,1140.00
0273,Teclado,8,180.00
0274,Mouse,3,
0275,Headset,1,262.50
0276,Webcam,8,336.00
0277,SSD,10,480.00
0278,Memoria RAM,4,350.00
0279,HD Externo,2,399.00
0280,Impressora,5,850.00
0281,Notebook,1,4725.00
0282,Monitor,9,1200.00
0283,Teclado,7,171.00
0284,Mouse,9,85.50
0285,Headset,1,262.50
0286,Webcam,5,320.00
0287,SSD,10,456.00
0288,Memoria RAM,10,350.00
0289,HD Externo,4,420.00
0290,Impressora,1,807.50
0291,Notebook,4,4725.00
0292,Monitor,1,1260.00
0293,Teclado,5,180.00
0294,Mouse,7,90.00
0295,Headset,4,250.00
0296,Webcam,3,304.00
0297,SSD,8,456.00
0298,Memoria RAM,4,350.00
0299,HD Externo,5,441.00
0300,Impressora,5,807.50
0301,Notebook,9,4275.00
0302,Monitor,3,1260.00
0303,Teclado,7,180.00
0304,Mouse,9,90.00
0305,Headset,5,250.00
0306,Webcam,7,320.00
0307,SSD,9,480.00
0308,Memoria RAM,6,350.00
0309,HD Externo,3,441.00
0310,Impressora,10,807.50
0311,Notebook,2,4500.00
0312,Monitor,7,1140.00
0313,Teclado,8,171.00
0314,Mouse,1,90.00
0315,Headset,4,250.00
0316,Webcam,3,304.00
0317,SSD,9,456.00
0318,Memoria RAM,4,350.00
0319,HD Externo,4,420.00
0320,Impressora,9,850.00
0321,Notebook,4,4725.00
0322,Monitor,6,1140.00
0323,Teclado,-2,180.00
0324,Mouse,3,85.50
0325,Headset,1,250.00
0326,Webcam,-1,320.00
0327,SSD,0,456.00
0328,Memoria RAM,5,350.00
0329,HD Externo,6,420.00
0330,Impressora,4,850.00
0331,Notebook,6,4725.00
0332,Monitor,3,1140.00
0333,Teclado,8,189.00
0334,Mouse,4,90.00
0335,Headset,5,237.50
0336,Webcam,7,336.00
0337,SSD,6,504.00
0338,Memoria RAM,3,367.50
0339,HD Externo,4,399.00
0340,Impressora,7,892.50
0341,Notebook,10,4500.00
0342,Monitor,7,1140.00
0343,Teclado,1,171.00
0344,Mouse,10,90.00
0345,Headset,4,262.50
0346,Webcam,8,304.00
0347,SSD,10,456.00
0348,Memoria RAM,3,367.50
0349,HD Externo,5,420.00
0350,Impressora,5,892.50
0351,Notebook,1,4275.00
0352,Monitor,7,1200.00
0353,Teclado,9,180.00
0354,Mouse,5,90.00
0355,Headset,10,237.50
0356,Webcam,10,336.00
0357,SSD,4,480.00
0358,Memoria RAM,6,350.00
0359,HD Externo,5,441.00
0360,Impressora,3,850.00
0361,Notebook,10,4500.00
0362,Monitor,6,1200.00
0363,Teclado,5,180.00
0364,Mouse,4,90.00
0365,Headset,9,250.00
0366,Webcam,9,336.00
0367,SSD,4,480.00
0368,Memoria RAM,3,350.00
0369,HD Externo,4,399.00
0370,Impressora,4,850.00
0371,Notebook,5,
0372,Monitor,9,1260.00
0373,Teclado,4,180.00
0374,Mouse,6,90.00
0375,Headset,5,250.00
0376,Webcam,5,336.00
0377,SSD,3,480.00
0378,Memoria RAM,9,367.50
0379,HD Externo,9,441.00
0380,Impressora,3,892.50
0381,Notebook,1,4725.00
0382,Monitor,10,1200.00
0383,Teclado,9,189.00
0384,Mouse,5,85.50
0385,Headset,4,237.50
0386,Webcam,9,336.00
